i	j	k	temp	vel	count
1	1	1	0.0	0.0	0
1	1	2	0.0	0.0	0
1	1	3	0.0	0.0	0
1	1	4	0.0	0.0	0
1	1	5	0.0	0.0	0
1	1	6	0.0	0.0	0
1	1	7	0.0	0.0	0
1	1	8	0.0	0.0	0
1	1	9	0.0	0.0	0
1	1	10	0.0	0.0	0
1	1	11	0.0	0.0	0
1	1	12	0.0	0.0	0
1	1	13	0.0	0.0	0
1	1	14	0.0	0.0	0
1	2	1	0.0	0.0	0
1	2	2	0.0	0.0	0
1	2	3	0.0	0.0	0
1	2	4	0.0	0.0	0
1	2	5	0.0	0.0	0
1	2	6	0.0	0.0	0
1	2	7	0.0	0.0	0
1	2	8	0.0	0.0	0
1	2	9	0.0	0.0	0
1	2	10	0.0	0.0	0
1	2	11	0.0	0.0	0
1	2	12	0.0	0.0	0
1	2	13	0.0	0.0	0
1	2	14	0.0	0.0	0
1	3	1	0.0	0.0	0
1	3	2	0.0	0.0	0
1	3	3	0.0	0.0	0
1	3	4	0.0	0.0	0
1	3	5	0.0	0.0	0
1	3	6	0.0	0.0	0
1	3	7	0.0	0.0	0
1	3	8	0.0	0.0	0
1	3	9	0.0	0.0	0
1	3	10	0.0	0.0	0
1	3	11	0.0	0.0	0
1	3	12	0.0	0.0	0
1	3	13	0.0	0.0	0
1	3	14	0.0	0.0	0
1	4	1	0.0	0.0	0
1	4	2	0.0	0.0	0
1	4	3	0.0	0.0	0
1	4	4	0.0	0.0	0
1	4	5	350.19314927868857	1.9756625419672138	61
1	4	6	350.5942936265559	1.9747141210373431	241
1	4	7	350.45920862694214	1.9604518960880852	386
1	4	8	350.5943462033195	1.9747141122406642	241
1	4	9	350.19315775409837	1.9756623683606556	61
1	4	10	0.0	0.0	0
1	4	11	0.0	0.0	0
1	4	12	0.0	0.0	0
1	4	13	0.0	0.0	0
1	4	14	0.0	0.0	0
1	5	1	0.0	0.0	0
1	5	2	0.0	0.0	0
1	5	3	0.0	0.0	0
1	5	4	350.17954713333336	1.9750914294999997	60
1	5	5	350.81223245454527	1.9659875175420871	297
1	5	6	351.0004066923068	1.9343693225418062	299
1	5	7	351.0004074255305	1.9320925006382985	376
1	5	8	351.00040659197225	1.9343692133444808	299
1	5	9	350.81159780743224	1.9660681473648667	296
1	5	10	350.17960049999994	1.9750916753333327	60
1	5	11	0.0	0.0	0
1	5	12	0.0	0.0	0
1	5	13	0.0	0.0	0
1	5	14	0.0	0.0	0
1	6	1	0.0	0.0	0
1	6	2	0.0	0.0	0
1	6	3	0.0	0.0	0
1	6	4	350.59560276859486	1.974856572190081	242
1	6	5	351.0004063288581	1.9344003733557067	298
1	6	6	351.0004070193893	1.9272080202216062	361
1	6	7	351.0004069591827	1.9259120999999992	294
1	6	8	351.0004071052617	1.9272087347091404	361
1	6	9	351.00040639464794	1.9344257644816056	299
1	6	10	350.5956308842975	1.9748576516115708	242
1	6	11	0.0	0.0	0
1	6	12	0.0	0.0	0
1	6	13	0.0	0.0	0
1	6	14	0.0	0.0	0
1	7	1	0.0	0.0	0
1	7	2	0.0	0.0	0
1	7	3	0.0	0.0	0
1	7	4	350.4589047694291	1.9604494514507778	386
1	7	5	351.0004073076909	1.9320865865251995	377
1	7	6	351.0004069693867	1.9259133859183677	294
1	7	7	351.0004056138206	1.9250838350813009	246
1	7	8	351.0004062278902	1.9259131655102024	294
1	7	9	351.00040746949463	1.9320870207427066	377
1	7	10	350.4588945751288	1.960448955777204	386
1	7	11	0.0	0.0	0
1	7	12	0.0	0.0	0
1	7	13	0.0	0.0	0
1	7	14	0.0	0.0	0
1	8	1	0.0	0.0	0
1	8	2	0.0	0.0	0
1	8	3	0.0	0.0	0
1	8	4	350.59434263070546	1.9747134858091282	241
1	8	5	351.0004064949823	1.9343739877926414	299
1	8	6	351.0004070166191	1.9272139695567876	361
1	8	7	351.0004081156453	1.925914971598639	294
1	8	8	351.000406509694	1.9272136976177288	361
1	8	9	351.00040669565124	1.9343745119732454	299
1	8	10	350.59429416597516	1.9747145259751036	241
1	8	11	0.0	0.0	0
1	8	12	0.0	0.0	0
1	8	13	0.0	0.0	0
1	8	14	0.0	0.0	0
1	9	1	0.0	0.0	0
1	9	2	0.0	0.0	0
1	9	3	0.0	0.0	0
1	9	4	350.1931607868853	1.975664068688525	61
1	9	5	350.81159655067546	1.966068475371622	296
1	9	6	351.00040624999895	1.9344034726000006	300
1	9	7	351.00040723076785	1.9320963494164458	377
1	9	8	351.0004057986567	1.9344056145973145	298
1	9	9	350.8122324680134	1.9659876929292923	297
1	9	10	350.1931497868853	1.9756628937704923	61
1	9	11	0.0	0.0	0
1	9	12	0.0	0.0	0
1	9	13	0.0	0.0	0
1	9	14	0.0	0.0	0
1	10	1	0.0	0.0	0
1	10	2	0.0	0.0	0
1	10	3	0.0	0.0	0
1	10	4	0.0	0.0	0
1	10	5	350.17960001666665	1.9750919086666663	60
1	10	6	350.5956292396692	1.9748580261157025	242
1	10	7	350.45862782124306	1.9604479603626968	386
1	10	8	350.59560551239656	1.9748588261570252	242
1	10	9	350.1795481833334	1.9750909865	60
1	10	10	0.0	0.0	0
1	10	11	0.0	0.0	0
1	10	12	0.0	0.0	0
1	10	13	0.0	0.0	0
1	10	14	0.0	0.0	0
1	11	1	0.0	0.0	0
1	11	2	0.0	0.0	0
1	11	3	0.0	0.0	0
1	11	4	0.0	0.0	0
1	11	5	0.0	0.0	0
1	11	6	0.0	0.0	0
1	11	7	0.0	0.0	0
1	11	8	0.0	0.0	0
1	11	9	0.0	0.0	0
1	11	10	0.0	0.0	0
1	11	11	0.0	0.0	0
1	11	12	0.0	0.0	0
1	11	13	0.0	0.0	0
1	11	14	0.0	0.0	0
1	12	1	0.0	0.0	0
1	12	2	0.0	0.0	0
1	12	3	0.0	0.0	0
1	12	4	0.0	0.0	0
1	12	5	0.0	0.0	0
1	12	6	0.0	0.0	0
1	12	7	0.0	0.0	0
1	12	8	0.0	0.0	0
1	12	9	0.0	0.0	0
1	12	10	0.0	0.0	0
1	12	11	0.0	0.0	0
1	12	12	0.0	0.0	0
1	12	13	0.0	0.0	0
1	12	14	0.0	0.0	0
1	13	1	0.0	0.0	0
1	13	2	0.0	0.0	0
1	13	3	0.0	0.0	0
1	13	4	0.0	0.0	0
1	13	5	0.0	0.0	0
1	13	6	0.0	0.0	0
1	13	7	0.0	0.0	0
1	13	8	0.0	0.0	0
1	13	9	0.0	0.0	0
1	13	10	0.0	0.0	0
1	13	11	0.0	0.0	0
1	13	12	0.0	0.0	0
1	13	13	0.0	0.0	0
1	13	14	0.0	0.0	0
1	14	1	0.0	0.0	0
1	14	2	0.0	0.0	0
1	14	3	0.0	0.0	0
1	14	4	0.0	0.0	0
1	14	5	0.0	0.0	0
1	14	6	0.0	0.0	0
1	14	7	0.0	0.0	0
1	14	8	0.0	0.0	0
1	14	9	0.0	0.0	0
1	14	10	0.0	0.0	0
1	14	11	0.0	0.0	0
1	14	12	0.0	0.0	0
1	14	13	0.0	0.0	0
1	14	14	0.0	0.0	0
2	1	1	0.0	0.0	0
2	1	2	0.0	0.0	0
2	1	3	0.0	0.0	0
2	1	4	0.0	0.0	0
2	1	5	0.0	0.0	0
2	1	6	0.0	0.0	0
2	1	7	0.0	0.0	0
2	1	8	0.0	0.0	0
2	1	9	0.0	0.0	0
2	1	10	0.0	0.0	0
2	1	11	0.0	0.0	0
2	1	12	0.0	0.0	0
2	1	13	0.0	0.0	0
2	1	14	0.0	0.0	0
2	2	1	0.0	0.0	0
2	2	2	0.0	0.0	0
2	2	3	0.0	0.0	0
2	2	4	0.0	0.0	0
2	2	5	0.0	0.0	0
2	2	6	0.0	0.0	0
2	2	7	0.0	0.0	0
